true_persona,age,monthly_income,savings_rate,pct_spend_discretionary,app_opens_per_week,avg_transaction_value,transactions_per_month,investment_balance,credit_utilization,months_active,monthly_spend
Budget-Conscious Saver,39,4320.0,0.277,0.361,8.4,51.16,14,780.0,0.319,43,2780.0
Credit-Reliant Household,37,4920.0,0.058,0.457,10.2,40.58,40,480.0,0.816,42,4100.0
High-Income Investor,38,8440.0,0.25,0.449,3.2,177.17,24,71640.0,0.131,44,7150.0
Steady Middle,26,5290.0,0.167,0.483,2.7,69.77,41,18160.0,0.287,54,4700.0
Credit-Reliant Household,44,2970.0,0.012,0.33,8.2,15.7,42,20.0,0.809,17,3320.0
Young Digital Spender,25,3050.0,0.005,0.581,27.3,24.49,48,370.0,0.345,13,2980.0
Steady Middle,34,7240.0,0.196,0.359,4.0,48.05,33,5500.0,0.466,39,5800.0
Young Digital Spender,20,3750.0,0.018,0.734,19.6,41.54,61,440.0,0.368,53,3360.0
Budget-Conscious Saver,33,4230.0,0.333,0.293,4.7,26.85,25,900.0,0.123,15,3140.0
High-Income Investor,54,13140.0,0.384,0.347,5.7,160.31,15,116670.0,0.049,41,7000.0
Steady Middle,48,7320.0,0.134,0.357,7.5,77.92,29,2820.0,0.294,12,7010.0
Young Digital Spender,24,2900.0,0.035,0.638,19.9,28.79,64,470.0,0.533,12,3070.0
Budget-Conscious Saver,37,6350.0,0.325,0.28,6.6,56.99,29,7850.0,0.098,5,3720.0
Young Digital Spender,27,2350.0,0.055,0.67,21.3,60.39,74,390.0,0.287,51,2260.0
Young Digital Spender,26,3070.0,0.069,0.469,15.5,63.19,69,260.0,0.416,36,3190.0
High-Income Investor,42,14920.0,0.387,0.418,6.7,124.97,21,31530.0,0.065,15,8100.0
Steady Middle,41,4800.0,0.11,0.402,4.5,97.01,33,10020.0,0.283,48,3750.0
Credit-Reliant Household,47,4730.0,0.025,0.383,6.1,41.1,32,10.0,0.798,3,4070.0
Budget-Conscious Saver,34,5730.0,0.397,0.227,6.2,66.44,30,2010.0,0.063,9,3960.0
Budget-Conscious Saver,26,4140.0,0.186,0.179,6.1,36.65,34,2360.0,0.099,57,3290.0
High-Income Investor,47,8540.0,0.424,0.4,6.9,190.66,18,80920.0,0.035,22,4860.0
Credit-Reliant Household,45,2970.0,-0.078,0.47,13.1,27.86,42,350.0,0.724,19,3400.0
Steady Middle,44,5880.0,0.175,0.288,8.0,81.88,39,7580.0,0.389,38,5190.0
Young Digital Spender,21,4490.0,0.063,0.496,10.4,31.14,60,200.0,0.38,54,4250.0
Budget-Conscious Saver,39,4650.0,0.343,0.318,8.9,79.56,24,560.0,0.256,55,2770.0
Credit-Reliant Household,46,3120.0,0.012,0.395,10.0,56.57,41,130.0,0.916,12,2740.0
High-Income Investor,40,10030.0,0.341,0.329,4.0,80.95,20,41380.0,0.167,29,6170.0
Steady Middle,41,4770.0,0.16,0.335,4.4,47.12,38,4410.0,0.256,41,3490.0
Budget-Conscious Saver,35,3670.0,0.241,0.307,11.4,70.94,36,1660.0,0.146,37,2890.0
Young Digital Spender,23,4140.0,0.06,0.482,27.6,32.72,65,240.0,0.414,13,4320.0
Steady Middle,39,6040.0,0.137,0.327,7.6,65.51,35,12550.0,0.317,31,5120.0
Steady Middle,30,4800.0,0.09,0.372,8.7,40.65,27,2550.0,0.227,1,4340.0
Credit-Reliant Household,44,3220.0,-0.032,0.353,7.7,46.21,32,100.0,0.552,20,3620.0
High-Income Investor,36,8450.0,0.257,0.462,3.7,226.0,11,138870.0,0.125,20,7030.0
Young Digital Spender,27,3290.0,0.021,0.598,19.4,52.08,68,150.0,0.463,18,3570.0
Credit-Reliant Household,46,4840.0,-0.016,0.395,6.6,47.04,23,50.0,0.711,17,5060.0
High-Income Investor,41,10300.0,0.219,0.439,5.4,120.25,14,117470.0,0.031,37,9070.0
Steady Middle,29,6470.0,0.2,0.38,8.0,78.16,24,1990.0,0.204,9,5890.0
Budget-Conscious Saver,35,6330.0,0.32,0.256,4.3,71.6,24,3670.0,0.204,19,3760.0
Budget-Conscious Saver,27,4860.0,0.201,0.305,5.0,79.99,35,1640.0,0.127,13,3390.0
Young Digital Spender,27,2430.0,0.01,0.558,25.5,45.07,65,10.0,0.358,10,2760.0
Budget-Conscious Saver,38,4910.0,0.273,0.232,3.7,46.66,36,2760.0,0.162,41,3850.0
Credit-Reliant Household,45,2880.0,0.07,0.293,10.3,47.5,24,170.0,0.781,30,2530.0
Budget-Conscious Saver,41,4790.0,0.287,0.16,5.8,62.0,27,8580.0,0.065,3,3460.0
Credit-Reliant Household,54,4390.0,-0.036,0.488,11.2,48.93,24,10.0,0.916,5,4760.0
High-Income Investor,56,8250.0,0.229,0.223,4.7,80.75,20,100310.0,0.006,14,6710.0
Young Digital Spender,22,2780.0,0.087,0.536,19.8,34.18,74,30.0,0.509,55,2600.0
Budget-Conscious Saver,40,6240.0,0.285,0.181,6.0,31.69,34,5710.0,0.11,59,4880.0
High-Income Investor,36,15640.0,0.444,0.342,8.9,191.3,20,8850.0,0.0,48,8930.0
Budget-Conscious Saver,30,3750.0,0.312,0.213,0.1,33.04,35,2590.0,0.069,47,2280.0
High-Income Investor,45,17790.0,0.218,0.481,6.8,65.42,21,52330.0,0.11,25,13760.0
Budget-Conscious Saver,36,5440.0,0.306,0.283,4.7,64.55,19,5210.0,0.147,43,3950.0
High-Income Investor,55,14250.0,0.259,0.386,8.0,70.51,15,119850.0,0.04,13,9610.0
Budget-Conscious Saver,31,5280.0,0.348,0.238,8.2,65.2,30,4120.0,0.18,11,3130.0
Credit-Reliant Household,44,3140.0,-0.097,0.334,10.6,38.83,34,10.0,0.797,45,3900.0
High-Income Investor,51,13510.0,0.299,0.436,1.6,108.56,11,47420.0,0.066,28,8660.0
Steady Middle,44,4340.0,0.18,0.359,8.0,67.37,13,1980.0,0.363,2,3950.0
High-Income Investor,35,8620.0,0.247,0.388,4.4,205.69,13,136560.0,0.015,38,7430.0
Young Digital Spender,22,2300.0,0.056,0.581,17.6,13.33,77,450.0,0.299,19,2170.0
Young Digital Spender,25,4450.0,0.016,0.612,20.7,46.18,66,230.0,0.189,34,4980.0
Budget-Conscious Saver,30,3040.0,0.25,0.282,9.7,60.19,30,2310.0,0.284,38,2250.0
Young Digital Spender,23,2280.0,-0.004,0.62,30.6,11.75,33,310.0,0.311,52,2210.0
Budget-Conscious Saver,31,5770.0,0.299,0.269,8.9,56.52,29,4450.0,0.207,56,3470.0
Budget-Conscious Saver,41,4310.0,0.292,0.309,3.8,72.93,35,2990.0,0.188,55,3440.0
Budget-Conscious Saver,34,5370.0,0.339,0.177,4.3,48.01,23,1150.0,0.151,27,3100.0
Young Digital Spender,24,2770.0,0.024,0.655,28.9,36.34,53,380.0,0.242,7,2340.0
Budget-Conscious Saver,37,4890.0,0.224,0.291,4.4,53.69,22,1150.0,0.192,4,4040.0
Budget-Conscious Saver,26,4460.0,0.327,0.265,7.6,30.49,27,1300.0,0.224,29,2990.0
High-Income Investor,44,17070.0,0.227,0.279,6.4,160.88,8,22950.0,0.096,38,12930.0
Young Digital Spender,24,3480.0,-0.0,0.486,23.5,34.74,60,90.0,0.207,20,3010.0
Young Digital Spender,25,3380.0,0.065,0.691,17.4,37.83,56,180.0,0.263,14,3150.0
Budget-Conscious Saver,29,4210.0,0.391,0.199,12.1,69.09,14,2200.0,0.065,28,2830.0
Credit-Reliant Household,41,3800.0,0.024,0.316,14.4,18.18,33,110.0,0.794,26,3190.0
Young Digital Spender,27,3910.0,-0.02,0.496,27.2,46.85,39,220.0,0.442,8,4250.0
Budget-Conscious Saver,31,5740.0,0.289,0.219,7.5,48.22,19,4920.0,0.247,25,4520.0
Young Digital Spender,21,2900.0,-0.001,0.522,27.0,55.35,42,90.0,0.335,12,2790.0
Budget-Conscious Saver,41,4410.0,0.227,0.224,4.3,46.27,18,8580.0,0.087,53,3680.0
Steady Middle,47,6420.0,0.158,0.308,3.4,31.55,33,3770.0,0.206,22,5400.0
Budget-Conscious Saver,35,5750.0,0.35,0.352,5.3,24.88,23,1750.0,0.081,59,3380.0
Steady Middle,29,6290.0,0.138,0.386,7.1,92.62,17,1310.0,0.257,41,4640.0
Credit-Reliant Household,37,4510.0,0.003,0.451,9.1,30.14,27,80.0,0.607,28,4530.0
Young Digital Spender,22,4440.0,0.105,0.477,23.3,53.39,55,390.0,0.383,8,4330.0
Young Digital Spender,22,3980.0,0.07,0.525,20.2,25.88,41,90.0,0.301,44,3220.0
Steady Middle,43,6870.0,0.035,0.437,13.5,48.18,24,6350.0,0.13,32,7480.0
High-Income Investor,47,16450.0,0.297,0.216,7.2,164.69,18,65050.0,0.105,33,11960.0
Young Digital Spender,23,3010.0,0.014,0.626,13.3,36.67,49,60.0,0.304,30,2640.0
Budget-Conscious Saver,38,5910.0,0.329,0.191,10.8,49.88,36,3300.0,0.226,10,4520.0
Budget-Conscious Saver,26,3510.0,0.248,0.226,7.1,60.53,23,4190.0,0.203,42,2850.0
Budget-Conscious Saver,32,5250.0,0.266,0.287,9.8,29.39,18,5420.0,0.141,7,4400.0
Steady Middle,33,6870.0,0.094,0.365,8.1,86.5,39,8250.0,0.139,47,6030.0
Budget-Conscious Saver,33,5910.0,0.341,0.262,5.9,64.42,24,4110.0,0.195,14,3970.0
Steady Middle,38,7490.0,0.147,0.317,9.6,51.36,36,7330.0,0.34,58,6340.0
Budget-Conscious Saver,36,5230.0,0.171,0.12,9.6,54.2,33,1190.0,0.083,45,4730.0
Credit-Reliant Household,45,3880.0,-0.008,0.33,5.4,33.99,36,260.0,0.803,48,4000.0
Young Digital Spender,20,3650.0,0.027,0.524,26.4,24.41,36,80.0,0.228,55,3990.0
Budget-Conscious Saver,40,4840.0,0.323,0.142,8.1,68.64,31,2440.0,0.038,14,3290.0
Steady Middle,40,5220.0,0.143,0.333,7.0,86.16,32,10260.0,0.298,59,4380.0
Budget-Conscious Saver,39,4340.0,0.348,0.145,4.3,41.7,26,3910.0,0.062,44,2680.0
Steady Middle,45,5230.0,0.137,0.458,11.0,33.62,43,5980.0,0.185,59,4980.0
Young Digital Spender,21,3910.0,0.08,0.494,15.2,27.67,64,350.0,0.531,18,4000.0
Steady Middle,38,7960.0,0.106,0.394,5.9,47.1,26,7490.0,0.388,49,7570.0
Credit-Reliant Household,48,4040.0,0.063,0.386,13.3,49.87,32,130.0,1.0,35,4220.0
Budget-Conscious Saver,31,3860.0,0.22,0.167,8.3,45.93,33,1540.0,0.279,38,3250.0
Young Digital Spender,27,2850.0,0.028,0.624,25.6,32.95,55,520.0,0.364,24,2580.0
Credit-Reliant Household,54,3210.0,0.015,0.383,10.9,41.58,37,40.0,0.86,55,2900.0
Young Digital Spender,25,3630.0,-0.02,0.492,17.7,45.13,40,10.0,0.201,38,3770.0
High-Income Investor,56,15130.0,0.332,0.418,8.3,105.09,15,19000.0,0.07,43,10820.0
Budget-Conscious Saver,38,4820.0,0.213,0.219,10.3,27.44,17,6310.0,0.151,6,3990.0
Steady Middle,35,5460.0,0.125,0.318,3.8,46.55,39,12580.0,0.329,24,5000.0
Steady Middle,45,6900.0,0.122,0.39,10.5,62.22,28,6090.0,0.195,56,6280.0
Steady Middle,49,6840.0,0.148,0.219,7.9,68.26,18,3700.0,0.184,4,5070.0
Steady Middle,26,5500.0,0.175,0.284,10.0,56.4,39,6510.0,0.157,24,4220.0
High-Income Investor,49,12460.0,0.216,0.432,4.6,91.77,20,101540.0,0.046,37,11060.0
Credit-Reliant Household,33,3630.0,-0.021,0.383,8.1,42.02,30,120.0,0.874,41,4100.0
Credit-Reliant Household,45,3780.0,-0.036,0.428,9.9,39.37,44,180.0,0.523,47,4210.0
Steady Middle,44,7170.0,0.183,0.409,6.2,45.16,34,3040.0,0.35,20,6110.0
High-Income Investor,51,14070.0,0.268,0.315,4.7,110.55,23,60440.0,0.06,21,9450.0
Young Digital Spender,21,4260.0,0.111,0.702,23.7,53.97,43,100.0,0.401,24,4000.0
Steady Middle,27,7940.0,0.13,0.295,9.1,49.69,26,8530.0,0.338,20,6160.0
Budget-Conscious Saver,41,4680.0,0.144,0.26,7.7,45.18,38,4840.0,0.146,36,3980.0
Budget-Conscious Saver,28,3170.0,0.349,0.263,6.9,44.05,22,3760.0,0.166,16,2150.0
Steady Middle,30,4490.0,0.089,0.325,11.9,88.72,26,11100.0,0.361,33,4700.0
Budget-Conscious Saver,41,6080.0,0.331,0.212,5.6,50.17,24,2830.0,0.23,6,3860.0
Young Digital Spender,22,4420.0,0.089,0.447,27.2,56.05,50,80.0,0.49,22,3870.0
Steady Middle,46,6000.0,0.1,0.465,11.1,74.13,35,10020.0,0.309,36,5820.0
Steady Middle,28,5960.0,0.217,0.359,5.5,56.7,24,7130.0,0.298,58,4710.0
Steady Middle,43,6770.0,0.139,0.366,11.2,47.55,43,6020.0,0.373,43,6040.0
Young Digital Spender,20,3630.0,0.054,0.558,15.1,14.02,53,140.0,0.487,6,3120.0
Credit-Reliant Household,41,3590.0,0.006,0.478,12.3,44.24,18,50.0,0.918,27,3230.0
Credit-Reliant Household,36,4640.0,-0.035,0.38,7.2,33.63,26,180.0,0.946,41,5320.0
Credit-Reliant Household,54,3130.0,-0.058,0.487,12.7,37.44,36,270.0,0.796,36,3540.0
Steady Middle,35,4990.0,0.157,0.425,7.9,49.71,23,2500.0,0.402,57,4540.0
Steady Middle,33,4550.0,0.075,0.323,10.5,40.91,28,5000.0,0.285,11,4320.0
Steady Middle,45,7800.0,0.136,0.29,8.2,73.86,27,2340.0,0.11,36,6830.0
High-Income Investor,50,9080.0,0.315,0.247,7.2,160.43,13,87910.0,0.031,55,5670.0
High-Income Investor,44,12630.0,0.236,0.289,2.7,169.2,15,46870.0,0.106,19,10800.0
Steady Middle,37,4020.0,0.05,0.444,9.4,30.39,34,10480.0,0.274,57,3630.0
Budget-Conscious Saver,32,3900.0,0.247,0.295,7.5,70.24,46,2110.0,0.254,1,2520.0
Credit-Reliant Household,38,3720.0,-0.002,0.381,3.3,32.54,34,190.0,0.552,39,3580.0
Steady Middle,47,5500.0,0.143,0.359,7.9,56.01,29,1610.0,0.238,25,4400.0
High-Income Investor,35,8120.0,0.272,0.285,7.2,221.24,22,39150.0,0.062,44,5600.0
Credit-Reliant Household,46,3830.0,0.054,0.443,12.2,54.6,24,180.0,0.677,5,3900.0
Budget-Conscious Saver,38,3490.0,0.329,0.218,5.8,51.96,16,2850.0,0.139,43,2250.0
High-Income Investor,54,15880.0,0.289,0.388,7.9,73.63,27,114600.0,0.039,20,11610.0
Steady Middle,46,4050.0,0.193,0.391,11.2,60.66,27,1580.0,0.343,18,3300.0
Young Digital Spender,21,3920.0,0.076,0.44,15.1,6.37,58,200.0,0.323,10,3570.0
Steady Middle,48,4720.0,0.129,0.39,7.4,74.49,24,5660.0,0.318,17,4610.0
High-Income Investor,57,14840.0,0.302,0.321,4.7,204.77,26,81310.0,0.044,57,9840.0
Young Digital Spender,20,2830.0,0.025,0.677,30.4,15.49,62,210.0,0.477,37,2790.0
Young Digital Spender,22,2780.0,0.031,0.607,27.1,48.79,49,130.0,0.464,34,2690.0
Steady Middle,45,7010.0,0.157,0.216,12.4,76.45,25,5590.0,0.193,47,5420.0
Steady Middle,33,5420.0,0.162,0.321,8.8,35.96,20,1790.0,0.265,32,4540.0
Credit-Reliant Household,29,2580.0,-0.007,0.343,12.3,17.99,36,380.0,0.825,3,2260.0
Steady Middle,43,4380.0,0.114,0.393,7.7,40.8,44,10940.0,0.349,4,3330.0
Steady Middle,44,4500.0,0.159,0.269,8.5,30.38,35,8040.0,0.215,50,3520.0
Credit-Reliant Household,40,4370.0,0.033,0.324,6.6,27.11,17,110.0,0.565,18,4060.0
Young Digital Spender,25,3600.0,0.034,0.545,20.5,31.57,35,820.0,0.59,13,3440.0
Steady Middle,48,5270.0,0.144,0.427,10.3,63.85,35,1960.0,0.327,37,4110.0
Steady Middle,41,5530.0,0.138,0.28,7.6,49.04,31,2100.0,0.278,57,5250.0
Steady Middle,28,5120.0,0.172,0.288,13.7,56.38,31,4770.0,0.273,51,4830.0
Budget-Conscious Saver,34,3310.0,0.331,0.231,2.4,63.58,26,1970.0,0.189,51,2100.0
Credit-Reliant Household,36,4290.0,-0.009,0.372,6.9,25.14,34,0.0,0.588,22,3970.0
High-Income Investor,56,10150.0,0.253,0.271,6.7,157.22,25,23720.0,0.11,25,7560.0
High-Income Investor,57,11330.0,0.358,0.39,4.2,168.95,23,14780.0,0.066,41,7160.0
Budget-Conscious Saver,34,5820.0,0.21,0.332,9.9,27.32,15,1130.0,0.136,7,4280.0
High-Income Investor,53,14960.0,0.306,0.368,1.9,123.98,6,57610.0,0.106,27,10380.0
Steady Middle,49,6720.0,0.101,0.402,8.0,52.64,32,6110.0,0.256,5,5600.0
Steady Middle,49,5470.0,0.11,0.361,9.9,82.96,22,2450.0,0.342,45,4760.0
High-Income Investor,56,17840.0,0.302,0.308,3.8,189.22,23,38140.0,0.0,53,11520.0
Credit-Reliant Household,32,2510.0,-0.056,0.34,10.5,10.6,20,60.0,0.973,45,2410.0
High-Income Investor,52,9080.0,0.298,0.355,3.3,94.37,13,78130.0,0.025,26,6630.0
Credit-Reliant Household,40,4030.0,-0.035,0.348,11.6,39.2,44,160.0,0.766,19,4090.0
Budget-Conscious Saver,28,3420.0,0.317,0.192,7.1,48.16,26,1160.0,0.088,27,2120.0
Budget-Conscious Saver,35,3780.0,0.245,0.299,8.6,46.82,24,1710.0,0.069,2,2460.0
Credit-Reliant Household,52,4270.0,0.049,0.556,11.3,33.0,31,10.0,0.986,6,4620.0
High-Income Investor,51,10710.0,0.268,0.318,4.0,136.28,23,50030.0,0.105,10,7420.0
Young Digital Spender,27,2450.0,0.082,0.587,26.2,42.44,55,160.0,0.262,8,2150.0
Steady Middle,38,5610.0,0.142,0.326,4.9,62.92,28,5950.0,0.154,19,5430.0
Budget-Conscious Saver,26,3790.0,0.314,0.226,7.6,46.95,37,1340.0,0.004,41,2930.0
Steady Middle,48,4110.0,0.175,0.36,4.6,86.78,45,7690.0,0.383,10,3320.0
Young Digital Spender,27,4500.0,0.037,0.434,16.9,15.42,45,240.0,0.412,25,4200.0
Young Digital Spender,26,4090.0,0.055,0.482,16.5,24.24,57,100.0,0.395,45,4300.0
Steady Middle,40,7110.0,0.199,0.291,10.0,62.64,48,8770.0,0.206,58,5130.0
Credit-Reliant Household,51,4330.0,-0.029,0.514,4.5,44.45,37,60.0,0.913,58,4590.0
Credit-Reliant Household,32,3260.0,-0.011,0.444,5.9,32.65,39,170.0,0.727,39,3410.0
Young Digital Spender,23,2470.0,0.036,0.618,31.6,15.63,66,230.0,0.277,50,2310.0
Budget-Conscious Saver,29,4590.0,0.34,0.411,4.3,49.46,22,3600.0,0.17,51,3320.0
Budget-Conscious Saver,37,4850.0,0.387,0.293,3.8,50.56,25,1500.0,0.202,34,3090.0
Credit-Reliant Household,42,3670.0,0.01,0.361,9.9,15.85,37,330.0,0.685,2,4150.0
Young Digital Spender,26,3420.0,0.067,0.537,15.7,30.94,67,0.0,0.358,37,3230.0
High-Income Investor,47,16960.0,0.352,0.444,4.1,124.51,21,104290.0,0.085,16,12510.0
Steady Middle,34,4140.0,0.146,0.329,6.2,41.72,26,8130.0,0.266,18,3150.0
Young Digital Spender,25,4390.0,-0.037,0.581,29.2,37.32,57,330.0,0.387,55,4690.0
Budget-Conscious Saver,25,3810.0,0.316,0.23,6.9,65.53,38,580.0,0.108,49,2380.0
Young Digital Spender,23,2470.0,0.03,0.581,20.9,19.04,59,40.0,0.314,41,2440.0
High-Income Investor,52,16240.0,0.323,0.273,7.5,68.02,33,28870.0,0.123,40,11250.0
Young Digital Spender,22,3570.0,0.091,0.684,28.4,11.51,43,630.0,0.336,45,3300.0
Steady Middle,44,5250.0,0.131,0.293,9.7,55.84,18,14730.0,0.406,39,4370.0
Young Digital Spender,27,4450.0,0.058,0.569,16.6,43.59,56,380.0,0.506,13,4390.0
Budget-Conscious Saver,28,3530.0,0.315,0.218,9.0,23.51,19,1070.0,0.209,40,2740.0
Credit-Reliant Household,32,4530.0,0.038,0.451,7.9,22.69,34,320.0,0.726,58,4960.0
Steady Middle,33,6880.0,0.095,0.356,6.7,45.88,33,7010.0,0.227,56,6700.0
Steady Middle,49,5280.0,0.106,0.399,3.3,46.91,27,2280.0,0.325,28,5030.0
Young Digital Spender,22,3590.0,0.069,0.472,29.0,63.38,32,720.0,0.238,50,3540.0
Credit-Reliant Household,35,3670.0,0.014,0.267,11.1,25.46,30,260.0,0.844,53,3870.0
Steady Middle,42,5120.0,0.091,0.369,11.2,66.35,32,1930.0,0.243,2,4060.0
Credit-Reliant Household,51,4050.0,-0.014,0.33,9.0,22.33,38,300.0,0.673,57,4350.0
Steady Middle,46,6070.0,0.184,0.279,6.3,63.58,43,10540.0,0.309,42,5070.0
Credit-Reliant Household,53,3050.0,-0.019,0.392,12.3,29.91,37,150.0,0.811,39,2810.0
Steady Middle,37,4530.0,0.048,0.362,8.8,24.22,20,10230.0,0.13,52,3890.0
Steady Middle,40,5410.0,0.172,0.366,9.1,61.76,17,11410.0,0.209,10,4830.0
Credit-Reliant Household,36,4320.0,-0.014,0.424,6.0,46.59,40,20.0,0.726,1,4020.0
Steady Middle,47,6480.0,0.157,0.369,9.2,31.32,23,7900.0,0.395,24,4830.0
Credit-Reliant Household,43,4990.0,0.047,0.551,13.9,63.14,31,100.0,0.992,48,4860.0
Young Digital Spender,23,3190.0,0.065,0.552,28.0,33.71,62,60.0,0.444,5,2640.0
Budget-Conscious Saver,33,4500.0,0.192,0.233,9.4,49.57,33,3800.0,0.139,5,3310.0
Credit-Reliant Household,44,2700.0,0.024,0.432,11.9,24.45,25,40.0,0.576,47,2830.0
Steady Middle,37,4650.0,0.071,0.352,9.2,57.28,30,9310.0,0.209,46,4440.0
Steady Middle,35,7300.0,0.169,0.346,7.7,42.16,38,8030.0,0.311,6,5790.0
Credit-Reliant Household,47,2940.0,-0.028,0.404,6.4,55.8,31,220.0,0.599,33,2790.0
Budget-Conscious Saver,39,3730.0,0.28,0.313,5.6,57.47,22,3240.0,0.081,33,2710.0
Credit-Reliant Household,48,4010.0,0.007,0.507,5.1,30.59,36,60.0,0.84,3,3630.0
Young Digital Spender,24,2520.0,0.085,0.52,29.9,44.46,69,240.0,0.45,49,2040.0
High-Income Investor,54,15640.0,0.359,0.327,1.6,143.16,14,74250.0,0.054,2,8830.0
High-Income Investor,53,10620.0,0.318,0.387,3.9,81.01,11,40850.0,0.074,33,6300.0
Budget-Conscious Saver,32,5110.0,0.27,0.163,10.3,51.4,25,1720.0,0.054,13,3200.0
Young Digital Spender,22,2530.0,0.104,0.47,14.5,63.06,55,90.0,0.583,40,2490.0
High-Income Investor,57,9370.0,0.261,0.258,5.8,167.04,24,106980.0,0.067,10,6270.0
